[original][Run 1] Epoch 01/20 - Train loss: 1.3817, acc: 0.4440 | Val loss: 1.9147, acc: 0.3400 | best_acc: 0.3400 (epoch 1)
[original][Run 1] Epoch 02/20 - Train loss: 1.0566, acc: 0.5740 | Val loss: 2.2148, acc: 0.3670 | best_acc: 0.3670 (epoch 2)
[original][Run 1] Epoch 03/20 - Train loss: 0.9363, acc: 0.6400 | Val loss: 1.0254, acc: 0.5884 | best_acc: 0.5884 (epoch 3)
[original][Run 1] Epoch 04/20 - Train loss: 0.7917, acc: 0.6760 | Val loss: 2.5446, acc: 0.4238 | best_acc: 0.5884 (epoch 3)
[original][Run 1] Epoch 05/20 - Train loss: 0.7038, acc: 0.7280 | Val loss: 1.0840, acc: 0.6482 | best_acc: 0.6482 (epoch 5)
[original][Run 1] Epoch 06/20 - Train loss: 0.6449, acc: 0.7340 | Val loss: 1.8705, acc: 0.5036 | best_acc: 0.6482 (epoch 5)
[original][Run 1] Epoch 07/20 - Train loss: 0.6775, acc: 0.7330 | Val loss: 1.0844, acc: 0.6192 | best_acc: 0.6482 (epoch 5)
[original][Run 1] Epoch 08/20 - Train loss: 0.5624, acc: 0.7820 | Val loss: 1.0038, acc: 0.6410 | best_acc: 0.6482 (epoch 5)
[original][Run 1] Epoch 09/20 - Train loss: 0.4870, acc: 0.8180 | Val loss: 1.1256, acc: 0.6138 | best_acc: 0.6482 (epoch 5)
[original][Run 1] Epoch 10/20 - Train loss: 0.4099, acc: 0.8450 | Val loss: 0.7708, acc: 0.7168 | best_acc: 0.7168 (epoch 10)
[original][Run 1] Epoch 11/20 - Train loss: 0.3509, acc: 0.8690 | Val loss: 0.7834, acc: 0.7140 | best_acc: 0.7168 (epoch 10)
[original][Run 1] Epoch 12/20 - Train loss: 0.3313, acc: 0.8830 | Val loss: 0.7527, acc: 0.7330 | best_acc: 0.7330 (epoch 12)
[original][Run 1] Epoch 13/20 - Train loss: 0.3352, acc: 0.8790 | Val loss: 1.3586, acc: 0.6212 | best_acc: 0.7330 (epoch 12)
[original][Run 1] Epoch 14/20 - Train loss: 0.2770, acc: 0.9020 | Val loss: 1.2515, acc: 0.6366 | best_acc: 0.7330 (epoch 12)
[original][Run 1] Epoch 15/20 - Train loss: 0.2233, acc: 0.9180 | Val loss: 1.1885, acc: 0.6304 | best_acc: 0.7330 (epoch 12)
[original][Run 1] Epoch 16/20 - Train loss: 0.1966, acc: 0.9360 | Val loss: 1.0674, acc: 0.6790 | best_acc: 0.7330 (epoch 12)
[original][Run 1] Epoch 17/20 - Train loss: 0.2181, acc: 0.9250 | Val loss: 1.6636, acc: 0.6168 | best_acc: 0.7330 (epoch 12)
[original][Run 1] Epoch 18/20 - Train loss: 0.1889, acc: 0.9330 | Val loss: 1.0043, acc: 0.6488 | best_acc: 0.7330 (epoch 12)
[original][Run 1] Epoch 19/20 - Train loss: 0.1249, acc: 0.9630 | Val loss: 1.0599, acc: 0.6910 | best_acc: 0.7330 (epoch 12)
[original][Run 1] Epoch 20/20 - Train loss: 0.1937, acc: 0.9290 | Val loss: 1.9169, acc: 0.5986 | best_acc: 0.7330 (epoch 12)
